label,strain,virus,accession,sampling_date,adm2,adm1,adm0,authors
EBOV|BTB367||DRC|Nord-Kivu|2018-10-28,BTB367,EBOV,,2018-10-28,Unknown,Nord-Kivu,COD,Mbala et al.
EBOV|BTB368||DRC|Nord-Kivu|2018-10-28,BTB368,EBOV,,2018-10-28,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB429||DRC|Nord-Kivu|2018-10-31,BTB429,EBOV,,2018-10-31,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB452||DRC|Nord-Kivu|2018-11-02,BTB452,EBOV,,2018-11-02,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB467||DRC|Nord-Kivu|2018-11-04,BTB467,EBOV,,2018-11-04,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB485||DRC|Nord-Kivu|2018-11-05,BTB485,EBOV,,2018-11-05,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB496||DRC|Nord-Kivu|2018-11-05,BTB496,EBOV,,2018-11-05,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB513||DRC|Nord-Kivu|2018-11-06,BTB513,EBOV,,2018-11-06,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB518||DRC|Nord-Kivu|2018-11-07,BTB518,EBOV,,2018-11-07,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB534||DRC|Nord-Kivu|2018-11-08,BTB534,EBOV,,2018-11-08,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB556||DRC|Nord-Kivu|2018-11-08,BTB556,EBOV,,2018-11-08,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB562||DRC|Nord-Kivu|2018-11-09,BTB562,EBOV,,2018-11-09,Musienene,Nord-Kivu,COD,Mbala et al.
EBOV|BTB571||DRC|Nord-Kivu|2018-11-09,BTB571,EBOV,,2018-11-09,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB576||DRC|Nord-Kivu|2018-11-09,BTB576,EBOV,,2018-11-09,Kyondo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB614||DRC|Nord-Kivu|2018-11-12,BTB614,EBOV,,2018-11-12,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB615||DRC|Nord-Kivu|2018-11-12,BTB615,EBOV,,2018-11-12,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB618||DRC|Nord-Kivu|2018-11-12,BTB618,EBOV,,2018-11-12,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB623||DRC|Nord-Kivu|2018-11-12,BTB623,EBOV,,2018-11-12,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB628||DRC|Nord-Kivu|2018-11-12,BTB628,EBOV,,2018-11-12,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB675||DRC|Nord-Kivu|2018-11-14,BTB675,EBOV,,2018-11-14,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB701||DRC|Nord-Kivu|2018-11-15,BTB701,EBOV,,2018-11-15,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB725||DRC|Nord-Kivu|2018-11-16,BTB725,EBOV,,2018-11-16,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB752||DRC|Nord-Kivu|2018-11-17,BTB752,EBOV,,2018-11-17,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB755||DRC|Nord-Kivu|2018-11-17,BTB755,EBOV,,2018-11-17,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB766||DRC|Nord-Kivu|2018-11-17,BTB766,EBOV,,2018-11-17,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB769||DRC|Nord-Kivu|2018-11-18,BTB769,EBOV,,2018-11-18,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB771||DRC|Nord-Kivu|2018-11-18,BTB771,EBOV,,2018-11-18,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB778||DRC|Nord-Kivu|2018-11-18,BTB778,EBOV,,2018-11-18,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB841||DRC|Nord-Kivu|2018-11-20,BTB841,EBOV,,2018-11-20,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB842||DRC|Unknown|Unknown,BTB842,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|BTB843||DRC|Nord-Kivu|2018-11-20,BTB843,EBOV,,2018-11-20,Kalunguta,Nord-Kivu,COD,Mbala et al.
EBOV|BTB844||DRC|Nord-Kivu|2018-11-20,BTB844,EBOV,,2018-11-20,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB933||DRC|Unknown|2018-11-23,BTB933,EBOV,,2018-11-23,Unknown,Unknown,COD,Mbala et al.
EBOV|BUN058||DRC|Nord-Kivu|2018-12-17,BUN058,EBOV,,2018-12-17,Oicha,Nord-Kivu,COD,Mbala et al.
EBOV|BUN059||DRC|Nord-Kivu|2018-12-17,BUN059,EBOV,,2018-12-17,Oicha,Nord-Kivu,COD,Mbala et al.
EBOV|BUN076||DRC|Nord-Kivu|2018-12-28,BUN076,EBOV,,2018-12-28,Komanda,Nord-Kivu,COD,Mbala et al.
EBOV|MAN002|MK007331|DRC|Ituri|2018-08-12,MAN002,EBOV,MK007331,2018-08-12,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN003|MK007332|DRC|Ituri|2018-08-12,MAN003,EBOV,MK007332,2018-08-12,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN006|MK007333|DRC|Ituri|2018-08-12,MAN006,EBOV,MK007333,2018-08-12,Mandima,Ituri,COD,Mbala et al.
